Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"Burkina Faso",10,"Total goods loaded",142,"Mirror data - majority reported",,248,"Mirror data - majority reported",,233,"Mirror data - majority reported",,295,"Mirror data - majority reported",,281,"Mirror data - majority reported",,267,"Mirror data - majority reported",,556,"Mirror data - majority reported",,260,"Mirror data - majority reported",,266,"Mirror data - majority reported",,439,"Mirror data - majority reported",,,,"Not publishable"
"Burundi",10,"Total goods loaded",18,"Mirror data - majority reported",,21,"Mirror data - majority reported",,25,"Mirror data - majority reported",,24,"Mirror data - majority reported",,18,"Mirror data - majority reported",,33,"Mirror data - majority reported",,26,"Mirror data - majority reported",,36,"Mirror data - majority reported",,23,"Mirror data - majority reported",,23,"Mirror data - majority reported",,26,"Mirror data - majority estimated",
"Cabo Verde",10,"Total goods loaded",28,"Mirror data - majority reported",,40,"Mirror data - majority reported",,56,"Mirror data - majority reported",,37,"Mirror data - majority reported",,30,"Mirror data - majority reported",,36,"Mirror data - majority reported",,37,"Mirror data - majority reported",,31,"Mirror data - majority reported",,36,"Mirror data - majority reported",,32,"Mirror data - majority reported",,27,"Mirror data - majority estimated",
"Cambodia",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Cameroon",10,"Total goods loaded",4247,"Mirror data - majority reported",,4907,"Mirror data - majority reported",,6296,"Mirror data - majority reported",,5592,"Mirror data - majority reported",,5023,"Mirror data - majority reported",,5235,"Mirror data - majority reported",,7058,"Mirror data - majority reported",,7253,"Mirror data - majority reported",,6446,"Mirror data - majority reported",,6453,"Mirror data - majority reported",,6290,"Mirror data - majority estimated",
"Canada",10,"Total goods loaded",213167,"Mirror data - majority reported",,207783,"Mirror data - majority reported",,209295,"Mirror data - majority reported",,216206,"Mirror data - majority reported",,224641,"Mirror data - majority reported",,230569,"Mirror data - majority reported",,239057,"Mirror data - majority reported",,255196,"Mirror data - majority reported",,252850,"Mirror data - majority reported",,239028,"Mirror data - majority reported",,265649,"Mirror data - majority reported",
"Cayman Islands",10,"Total goods loaded",71,"Mirror data - majority reported",,40,"Mirror data - majority reported",,288,"Mirror data - majority reported",,72,"Mirror data - majority reported",,197,"Mirror data - majority reported",,71,"Mirror data - majority reported",,70,"Mirror data - majority reported",,78,"Mirror data - majority reported",,157,"Mirror data - majority reported",,375,"Mirror data - majority reported",,274,"Mirror data - majority estimated",
"Central African Republic",10,"Total goods loaded",44,"Mirror data - majority reported",,35,"Mirror data - majority reported",,41,"Mirror data - majority reported",,103,"Mirror data - majority reported",,115,"Mirror data - majority reported",,65,"Mirror data - majority reported",,49,"Mirror data - majority reported",,58,"Mirror data - majority reported",,51,"Mirror data - majority reported",,52,"Mirror data - majority estimated",,61,"Mirror data - majority estimated",
"Chad",10,"Total goods loaded",4014,"Mirror data - majority reported",,3686,"Mirror data - majority reported",,5770,"Mirror data - majority reported",,5475,"Mirror data - majority reported",,2927,"Mirror data - majority reported",,2877,"Mirror data - majority reported",,2154,"Mirror data - majority reported",,4053,"Mirror data - majority reported",,3988,"Mirror data - majority reported",,4791,"Mirror data - majority estimated",,5001,"Mirror data - majority estimated",
"Chile",10,"Total goods loaded",52007,"Mirror data - majority reported",,52290,"Mirror data - majority reported",,58126,"Mirror data - majority reported",,59468,"Mirror data - majority reported",,55588,"Mirror data - majority reported",,61225,"Mirror data - majority reported",,54176,"Mirror data - majority reported",,57297,"Mirror data - majority reported",,59792,"Mirror data - majority reported",,59332,"Mirror data - majority reported",,57809,"Mirror data - majority estimated",
"China",10,"Total goods loaded",396645,"Mirror data - majority reported",,448938,"Mirror data - majority reported",,479396,"Mirror data - majority reported",,493558,"Mirror data - majority reported",,478634,"Mirror data - majority reported",,480021,"Mirror data - majority reported",,481580,"Mirror data - majority reported",,451359,"Mirror data - majority reported",,513685,"Mirror data - majority reported",,542626,"Mirror data - majority reported",,568418,"Mirror data - majority reported",
"China, Hong Kong SAR",10,"Total goods loaded",6884,"Mirror data - majority reported",,7322,"Mirror data - majority reported",,8561,"Mirror data - majority reported",,6109,"Mirror data - majority reported",,6577,"Mirror data - majority reported",,6439,"Mirror data - majority reported",,6215,"Mirror data - majority reported",,6146,"Mirror data - majority reported",,6862,"Mirror data - majority reported",,5909,"Mirror data - majority reported",,5802,"Mirror data - majority reported",
"China, Macao SAR",10,"Total goods loaded",221,"Mirror data - majority reported",,221,"Mirror data - majority reported",,273,"Mirror data - majority reported",,182,"Mirror data - majority reported",,192,"Mirror data - majority reported",,134,"Mirror data - majority reported",,126,"Mirror data - majority reported",,92,"Mirror data - majority reported",,96,"Mirror data - majority reported",,91,"Mirror data - majority reported",,92,"Mirror data - majority estimated",
"China, Taiwan Province of",10,"Total goods loaded",65791,"Mirror data - majority reported",,63253,"Mirror data - majority reported",,61153,"Mirror data - majority reported",,59684,"Mirror data - majority reported",,60188,"Mirror data - majority reported",,61285,"Mirror data - majority reported",,62834,"Mirror data - majority reported",,58395,"Mirror data - majority reported",,61816,"Mirror data - majority reported",,61694,"Mirror data - majority reported",,57795,"Mirror data - majority reported",
