Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"Mali",10,"Total goods loaded",259,"Mirror data - majority reported",,175,"Mirror data - majority reported",,183,"Mirror data - majority reported",,216,"Mirror data - majority reported",,220,"Mirror data - majority reported",,159,"Mirror data - majority reported",,154,"Mirror data - majority reported",,249,"Mirror data - majority reported",,351,"Mirror data - majority reported",,262,"Mirror data - majority estimated",,222,"Mirror data - majority estimated",
"Malta",10,"Total goods loaded",4913,"Mirror data - majority reported",,4933,"Mirror data - majority reported",,4879,"Mirror data - majority reported",,5052,"Mirror data - majority reported",,6221,"Mirror data - majority reported",,5467,"Mirror data - majority reported",,4995,"Mirror data - majority reported",,3672,"Mirror data - majority reported",,5125,"Mirror data - majority reported",,3097,"Mirror data - majority reported",,6239,"Mirror data - majority estimated",
"Marshall Islands",10,"Total goods loaded",642,"Mirror data - majority reported",,791,"Mirror data - majority reported",,750,"Mirror data - majority reported",,984,"Mirror data - majority reported",,705,"Mirror data - majority reported",,686,"Mirror data - majority reported",,870,"Mirror data - majority reported",,506,"Mirror data - majority reported",,1235,"Mirror data - majority reported",,766,"Mirror data - majority reported",,781,"Mirror data - majority estimated",
"Mauritania",10,"Total goods loaded",4622,"Mirror data - majority reported",,5537,"Mirror data - majority reported",,4917,"Mirror data - majority reported",,5072,"Mirror data - majority reported",,5031,"Mirror data - majority reported",,4998,"Mirror data - majority reported",,6336,"Mirror data - majority reported",,5595,"Mirror data - majority reported",,5722,"Mirror data - majority reported",,5434,"Mirror data - majority reported",,5133,"Mirror data - majority estimated",
"Mauritius",10,"Total goods loaded",1045,"Mirror data - majority reported",,1262,"Mirror data - majority reported",,1538,"Mirror data - majority reported",,1444,"Mirror data - majority reported",,1169,"Mirror data - majority reported",,1195,"Mirror data - majority reported",,1299,"Mirror data - majority reported",,1187,"Mirror data - majority reported",,1163,"Mirror data - majority reported",,1219,"Mirror data - majority reported",,1162,"Mirror data - majority estimated",
"Mexico",10,"Total goods loaded",138343,"Mirror data - majority reported",,124229,"Mirror data - majority reported",,129671,"Mirror data - majority reported",,138915,"Mirror data - majority reported",,125362,"Mirror data - majority reported",,129051,"Mirror data - majority reported",,130413,"Mirror data - majority reported",,140372,"Mirror data - majority reported",,145562,"Mirror data - majority reported",,148970,"Mirror data - majority reported",,151796,"Mirror data - majority reported",
"Micronesia (Federated States of)",10,"Total goods loaded",19,"Mirror data - majority reported",,21,"Mirror data - majority reported",,17,"Mirror data - majority reported",,43,"Mirror data - majority reported",,53,"Mirror data - majority reported",,74,"Mirror data - majority reported",,96,"Mirror data - majority reported",,84,"Mirror data - majority estimated",,138,"Mirror data - majority reported",,118,"Mirror data - majority estimated",,137,"Mirror data - majority estimated",
"Mongolia",10,"Total goods loaded",8692,"Mirror data - majority reported",,9808,"Mirror data - majority reported",,7999,"Mirror data - majority reported",,6380,"Mirror data - majority reported",,14364,"Mirror data - majority reported",,15141,"Mirror data - majority reported",,15475,"Mirror data - majority reported",,12624,"Mirror data - majority reported",,8679,"Mirror data - majority reported",,12062,"Mirror data - majority reported",,17601,"Mirror data - majority estimated",
"Montenegro",10,"Total goods loaded",196,"Mirror data - majority reported",,239,"Mirror data - majority reported",,310,"Mirror data - majority reported",,254,"Mirror data - majority reported",,365,"Mirror data - majority reported",,316,"Mirror data - majority reported",,347,"Mirror data - majority reported",,370,"Mirror data - majority reported",,640,"Mirror data - majority reported",,725,"Mirror data - majority reported",,663,"Mirror data - majority estimated",
"Montserrat",10,"Total goods loaded",8,"Mirror data - majority reported",,14,"Mirror data - majority reported",,23,"Mirror data - majority reported",,12,"Mirror data - majority reported",,27,"Mirror data - majority reported",,46,"Mirror data - majority reported",,34,"Mirror data - majority reported",,28,"Mirror data - majority reported",,49,"Mirror data - majority reported",,54,"Mirror data - majority estimated",,80,"Mirror data - majority estimated",
"Morocco",10,"Total goods loaded",17573,"Mirror data - majority reported",,17200,"Mirror data - majority reported",,17328,"Mirror data - majority reported",,17233,"Mirror data - majority reported",,19840,"Mirror data - majority reported",,20945,"Mirror data - majority reported",,20807,"Mirror data - majority reported",,22231,"Mirror data - majority reported",,22699,"Mirror data - majority reported",,20675,"Mirror data - majority reported",,19952,"Mirror data - majority estimated",
"Mozambique",10,"Total goods loaded",7800,"Mirror data - majority reported",,8171,"Mirror data - majority reported",,8766,"Mirror data - majority reported",,9458,"Mirror data - majority reported",,12681,"Mirror data - majority reported",,12887,"Mirror data - majority reported",,11556,"Mirror data - majority reported",,8350,"Mirror data - majority reported",,9293,"Mirror data - majority reported",,11714,"Mirror data - majority reported",,10923,"Mirror data - majority estimated",
"Myanmar",10,"Total goods loaded",4439,"Mirror data - majority reported",,6264,"Mirror data - majority reported",,6255,"Mirror data - majority reported",,8264,"Mirror data - majority reported",,6659,"Mirror data - majority reported",,9261,"Mirror data - majority reported",,11054,"Mirror data - majority reported",,12663,"Mirror data - majority reported",,7929,"Mirror data - majority reported",,6317,"Mirror data - majority reported",,6995,"Mirror data - majority reported",
"Namibia",10,"Total goods loaded",1066,"Mirror data - majority reported",,1265,"Mirror data - majority reported",,1186,"Mirror data - majority reported",,1000,"Mirror data - majority reported",,1007,"Mirror data - majority reported",,1322,"Mirror data - majority reported",,1250,"Mirror data - majority reported",,1146,"Mirror data - majority reported",,1476,"Mirror data - majority reported",,1539,"Mirror data - majority reported",,,,"Not publishable"
"Nauru",10,"Total goods loaded",338,"Mirror data - majority reported",,154,"Mirror data - majority reported",,140,"Mirror data - majority reported",,100,"Mirror data - majority reported",,135,"Mirror data - majority reported",,62,"Mirror data - majority reported",,93,"Mirror data - majority reported",,184,"Mirror data - majority reported",,361,"Mirror data - majority reported",,349,"Mirror data - majority reported",,275,"Mirror data - majority estimated",
"Nepal",10,"Total goods loaded",263,"Mirror data - majority reported",,316,"Mirror data - majority reported",,173,"Mirror data - majority reported",,147,"Mirror data - majority reported",,163,"Mirror data - majority reported",,156,"Mirror data - majority reported",,321,"Mirror data - majority reported",,248,"Mirror data - majority reported",,441,"Mirror data - majority reported",,339,"Mirror data - majority reported",,423,"Mirror data - majority estimated",
"Netherlands (Kingdom of the)",10,"Total goods loaded",257866,"Mirror data - majority reported",,258816,"Mirror data - majority reported",,248757,"Mirror data - majority reported",,264446,"Mirror data - majority reported",,264863,"Mirror data - majority reported",,261362,"Mirror data - majority reported",,262462,"Mirror data - majority reported",,245709,"Mirror data - majority reported",,267072,"Mirror data - majority reported",,255065,"Mirror data - majority reported",,250217,"Mirror data - majority reported",
"Netherlands Antilles",10,"Total goods loaded",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"New Caledonia",10,"Total goods loaded",4023,"Mirror data - majority reported",,4899,"Mirror data - majority reported",,4201,"Mirror data - majority reported",,3204,"Mirror data - majority reported",,3229,"Mirror data - majority reported",,3811,"Mirror data - majority reported",,4006,"Mirror data - majority reported",,3665,"Mirror data - majority reported",,4256,"Mirror data - majority reported",,4274,"Mirror data - majority estimated",,3850,"Mirror data - majority estimated",
"New Zealand",10,"Total goods loaded",33416,"Mirror data - majority reported",,34065,"Mirror data - majority reported",,32343,"Mirror data - majority reported",,38891,"Mirror data - majority reported",,36191,"Mirror data - majority reported",,38637,"Mirror data - majority reported",,38825,"Mirror data - majority reported",,34482,"Mirror data - majority reported",,37787,"Mirror data - majority reported",,35282,"Mirror data - majority reported",,34039,"Mirror data - majority estimated",
"Nicaragua",10,"Total goods loaded",1176,"Mirror data - majority reported",,1098,"Mirror data - majority reported",,1043,"Mirror data - majority reported",,1177,"Mirror data - majority reported",,1289,"Mirror data - majority reported",,1420,"Mirror data - majority reported",,1459,"Mirror data - majority reported",,1455,"Mirror data - majority reported",,1552,"Mirror data - majority reported",,1737,"Mirror data - majority reported",,1377,"Mirror data - majority estimated",
"Niger",10,"Total goods loaded",179,"Mirror data - majority reported",,178,"Mirror data - majority reported",,222,"Mirror data - majority reported",,192,"Mirror data - majority reported",,350,"Mirror data - majority reported",,264,"Mirror data - majority reported",,484,"Mirror data - majority reported",,528,"Mirror data - majority reported",,633,"Mirror data - majority reported",,288,"Mirror data - majority reported",,375,"Mirror data - majority estimated",
"Nigeria",10,"Total goods loaded",115963,"Mirror data - majority reported",,113524,"Mirror data - majority reported",,112893,"Mirror data - majority reported",,99553,"Mirror data - majority reported",,104339,"Mirror data - majority reported",,108665,"Mirror data - majority reported",,111726,"Mirror data - majority reported",,104171,"Mirror data - majority reported",,98620,"Mirror data - majority reported",,83631,"Mirror data - majority reported",,83542,"Mirror data - majority estimated",
"Niue",10,"Total goods loaded",0,"Mirror data - majority reported",,7,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,81,"Mirror data - majority reported",,227,"Mirror data - majority reported",,98,"Mirror data - majority reported",,110,"Mirror data - majority reported",,2,"Mirror data - majority reported",,0,"Mirror data - majority estimated",,37,"Mirror data - majority estimated",
"Norfolk Island",10,"Total goods loaded",5,"Mirror data - reported",,1,"Mirror data - reported",,3,"Mirror data - reported",,1,"Mirror data - reported",,2,"Mirror data - reported",,2,"Mirror data - reported",,2,"Mirror data - reported",,2,"Mirror data - majority reported",,2,"Mirror data - reported",,0,"Mirror data - reported",,1,"Mirror data - majority estimated",
"North Macedonia",10,"Total goods loaded",793,"Mirror data - majority reported",,863,"Mirror data - majority reported",,868,"Mirror data - majority reported",,897,"Mirror data - majority reported",,931,"Mirror data - majority reported",,1026,"Mirror data - majority reported",,997,"Mirror data - majority reported",,943,"Mirror data - majority reported",,1005,"Mirror data - majority reported",,997,"Mirror data - majority reported",,919,"Mirror data - majority reported",
"Northern Mariana Islands",10,"Total goods loaded",3,"Mirror data - reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,2,"Mirror data - majority reported",,5,"Mirror data - majority reported",,5,"Mirror data - majority reported",,6,"Mirror data - majority reported",,6,"Mirror data - majority reported",,5,"Mirror data - majority reported",,3,"Mirror data - majority reported",,3,"Mirror data - majority estimated",
"Norway",10,"Total goods loaded",130096,"Mirror data - majority reported",,137460,"Mirror data - majority reported",,146389,"Mirror data - majority reported",,150610,"Mirror data - majority reported",,157763,"Mirror data - majority reported",,149128,"Mirror data - majority reported",,143622,"Mirror data - majority reported",,144352,"Mirror data - majority reported",,155391,"Mirror data - majority reported",,164125,"Mirror data - majority reported",,164646,"Mirror data - majority reported",
"Oman",10,"Total goods loaded",68005,"Mirror data - majority reported",,64054,"Mirror data - majority reported",,65488,"Mirror data - majority reported",,68888,"Mirror data - majority reported",,67594,"Mirror data - majority reported",,75552,"Mirror data - majority reported",,80646,"Mirror data - majority reported",,90043,"Mirror data - majority reported",,110326,"Mirror data - majority reported",,110046,"Mirror data - majority reported",,106725,"Mirror data - majority estimated",
"Pakistan",10,"Total goods loaded",14359,"Mirror data - majority reported",,14170,"Mirror data - majority reported",,12438,"Mirror data - majority reported",,10830,"Mirror data - majority reported",,12098,"Mirror data - majority reported",,14306,"Mirror data - majority reported",,14173,"Mirror data - majority reported",,13944,"Mirror data - majority reported",,15442,"Mirror data - majority reported",,18412,"Mirror data - majority reported",,18544,"Mirror data - majority estimated",
"Palau",10,"Total goods loaded",2,"Mirror data - majority reported",,9,"Mirror data - majority reported",,13,"Mirror data - majority reported",,4,"Mirror data - majority reported",,11,"Mirror data - majority reported",,17,"Mirror data - majority reported",,5,"Mirror data - majority reported",,38,"Mirror data - majority reported",,5,"Mirror data - majority reported",,3,"Mirror data - majority reported",,12,"Mirror data - majority estimated",
"Panama",10,"Total goods loaded",4643,"Mirror data - majority reported",,4317,"Mirror data - majority reported",,4958,"Mirror data - majority reported",,3935,"Mirror data - majority reported",,4634,"Mirror data - majority reported",,3984,"Mirror data - majority reported",,4304,"Mirror data - majority reported",,3283,"Mirror data - majority reported",,3815,"Mirror data - majority reported",,4137,"Mirror data - majority reported",,3874,"Mirror data - majority estimated",
"Papua New Guinea",10,"Total goods loaded",5858,"Mirror data - majority reported",,10772,"Mirror data - majority reported",,14290,"Mirror data - majority reported",,14424,"Mirror data - majority reported",,15704,"Mirror data - majority reported",,14212,"Mirror data - majority reported",,16376,"Mirror data - majority reported",,15729,"Mirror data - majority reported",,14433,"Mirror data - majority reported",,15065,"Mirror data - majority estimated",,14034,"Mirror data - majority estimated",
"Paraguay",10,"Total goods loaded",8564,"Mirror data - majority reported",,8479,"Mirror data - majority reported",,7956,"Mirror data - majority reported",,8152,"Mirror data - majority reported",,8666,"Mirror data - majority reported",,8386,"Mirror data - majority reported",,7523,"Mirror data - majority reported",,7360,"Mirror data - majority reported",,7000,"Mirror data - majority reported",,4977,"Mirror data - majority reported",,7843,"Mirror data - majority estimated",
"Peru",10,"Total goods loaded",34350,"Mirror data - majority reported",,32606,"Mirror data - majority reported",,34602,"Mirror data - majority reported",,37794,"Mirror data - majority reported",,41802,"Mirror data - majority reported",,45335,"Mirror data - majority reported",,46717,"Mirror data - majority reported",,42207,"Mirror data - majority reported",,47912,"Mirror data - majority reported",,51404,"Mirror data - majority reported",,53673,"Mirror data - majority estimated",
"Philippines",10,"Total goods loaded",21241,"Mirror data - majority reported",,24374,"Mirror data - majority reported",,23294,"Mirror data - majority reported",,20293,"Mirror data - majority reported",,22299,"Mirror data - majority reported",,20567,"Mirror data - majority reported",,24506,"Mirror data - majority reported",,21247,"Mirror data - majority reported",,24587,"Mirror data - majority reported",,21502,"Mirror data - majority reported",,,,"Not publishable"
"Pitcairn",10,"Total goods loaded",2,"Mirror data - majority reported",,2,"Mirror data - majority reported",,4,"Mirror data - majority reported",,2,"Mirror data - majority reported",,1,"Mirror data - majority reported",,6,"Mirror data - majority reported",,0,"Mirror data - majority reported",,2,"Mirror data - majority reported",,2,"Mirror data - majority reported",,1,"Mirror data - majority estimated",,0,"Mirror data - majority estimated",
"Poland",10,"Total goods loaded",72685,"Mirror data - majority reported",,72037,"Mirror data - majority reported",,76817,"Mirror data - majority reported",,78519,"Mirror data - majority reported",,79166,"Mirror data - majority reported",,79875,"Mirror data - majority reported",,77702,"Mirror data - majority reported",,76278,"Mirror data - majority reported",,83877,"Mirror data - majority reported",,84666,"Mirror data - majority reported",,85040,"Mirror data - majority reported",
"Portugal",10,"Total goods loaded",22704,"Mirror data - majority reported",,22032,"Mirror data - majority reported",,23721,"Mirror data - majority reported",,22020,"Mirror data - majority reported",,22859,"Mirror data - majority reported",,20725,"Mirror data - majority reported",,21046,"Mirror data - majority reported",,20530,"Mirror data - majority reported",,21401,"Mirror data - majority reported",,20398,"Mirror data - majority reported",,18969,"Mirror data - majority reported",
"Qatar",10,"Total goods loaded",158304,"Mirror data - majority reported",,153492,"Mirror data - majority reported",,145481,"Mirror data - majority reported",,152091,"Mirror data - majority reported",,144868,"Mirror data - majority reported",,148397,"Mirror data - majority reported",,143604,"Mirror data - majority reported",,140940,"Mirror data - majority reported",,144212,"Mirror data - majority reported",,147766,"Mirror data - majority reported",,148618,"Mirror data - majority estimated",
"Republic of Korea",10,"Total goods loaded",162648,"Mirror data - majority reported",,166828,"Mirror data - majority reported",,172745,"Mirror data - majority reported",,179063,"Mirror data - majority reported",,181669,"Mirror data - majority reported",,180229,"Mirror data - majority reported",,184282,"Mirror data - majority reported",,178260,"Mirror data - majority reported",,177951,"Mirror data - majority reported",,179622,"Mirror data - majority reported",,185015,"Mirror data - majority reported",
"Republic of Moldova",10,"Total goods loaded",1026,"Mirror data - majority reported",,1305,"Mirror data - majority reported",,1339,"Mirror data - majority reported",,1380,"Mirror data - majority reported",,1770,"Mirror data - majority reported",,1746,"Mirror data - majority reported",,2033,"Mirror data - majority reported",,1515,"Mirror data - majority reported",,1814,"Mirror data - majority reported",,1837,"Mirror data - majority reported",,1661,"Mirror data - majority estimated",
"Romania",10,"Total goods loaded",24554,"Mirror data - majority reported",,27685,"Mirror data - majority reported",,25834,"Mirror data - majority reported",,27693,"Mirror data - majority reported",,27434,"Mirror data - majority reported",,29826,"Mirror data - majority reported",,29380,"Mirror data - majority reported",,26493,"Mirror data - majority reported",,29375,"Mirror data - majority reported",,30006,"Mirror data - majority reported",,29392,"Mirror data - majority reported",
"Russian Federation",10,"Total goods loaded",733098,"Mirror data - majority reported",,723373,"Mirror data - majority reported",,744667,"Mirror data - majority reported",,778916,"Mirror data - majority reported",,815505,"Mirror data - majority reported",,864966,"Mirror data - majority reported",,858596,"Mirror data - majority reported",,853635,"Mirror data - majority reported",,849589,"Mirror data - majority reported",,777875,"Mirror data - majority reported",,751362,"Mirror data - majority estimated",
"Rwanda",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Saint Barthelemy",10,"Total goods loaded",6,"Mirror data - majority reported",,6,"Mirror data - majority reported",,37,"Mirror data - majority reported",,13,"Mirror data - majority reported",,49,"Mirror data - majority reported",,12,"Mirror data - majority reported",,60,"Mirror data - majority reported",,68,"Mirror data - majority reported",,50,"Mirror data - majority reported",,63,"Mirror data - majority reported",,70,"Mirror data - majority estimated",
"Saint Helena",10,"Total goods loaded",2,"Mirror data - majority reported",,7,"Mirror data - majority reported",,4,"Mirror data - majority reported",,2,"Mirror data - majority reported",,7,"Mirror data - majority reported",,2,"Mirror data - majority reported",,2,"Mirror data - majority reported",,1,"Mirror data - majority reported",,2,"Mirror data - majority reported",,10,"Mirror data - majority estimated",,3,"Mirror data - majority estimated",
"Saint Kitts and Nevis",10,"Total goods loaded",26,"Mirror data - majority reported",,49,"Mirror data - majority reported",,20,"Mirror data - majority reported",,54,"Mirror data - majority reported",,32,"Mirror data - majority reported",,29,"Mirror data - majority reported",,13,"Mirror data - majority reported",,20,"Mirror data - majority reported",,12,"Mirror data - majority reported",,17,"Mirror data - majority reported",,33,"Mirror data - majority estimated",
"Saint Lucia",10,"Total goods loaded",209,"Mirror data - majority reported",,511,"Mirror data - majority reported",,396,"Mirror data - majority reported",,339,"Mirror data - majority reported",,202,"Mirror data - majority reported",,296,"Mirror data - majority reported",,255,"Mirror data - majority reported",,176,"Mirror data - majority reported",,237,"Mirror data - majority reported",,225,"Mirror data - majority reported",,258,"Mirror data - majority estimated",
"Saint Pierre and Miquelon",10,"Total goods loaded",2,"Mirror data - majority reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,4,"Mirror data - majority reported",,1,"Mirror data - majority reported",,2,"Mirror data - majority reported",,2,"Mirror data - majority reported",,3,"Mirror data - majority reported",,2,"Mirror data - majority reported",,1,"Mirror data - majority estimated",,1,"Mirror data - majority estimated",
"Saint Vincent and the Grenadines",10,"Total goods loaded",124,"Mirror data - majority reported",,101,"Mirror data - majority reported",,203,"Mirror data - majority reported",,209,"Mirror data - majority reported",,305,"Mirror data - majority reported",,255,"Mirror data - majority reported",,274,"Mirror data - majority reported",,287,"Mirror data - majority reported",,68,"Mirror data - majority reported",,95,"Mirror data - majority reported",,51,"Mirror data - majority estimated",
"Samoa",10,"Total goods loaded",17,"Mirror data - majority reported",,,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"San Marino",10,"Total goods loaded",16,"Mirror data - majority reported",,21,"Mirror data - majority reported",,26,"Mirror data - majority reported",,17,"Mirror data - majority reported",,11,"Mirror data - majority reported",,18,"Mirror data - majority reported",,18,"Mirror data - majority reported",,19,"Mirror data - majority reported",,14,"Mirror data - majority reported",,16,"Mirror data - majority reported",,16,"Mirror data - majority estimated",
"Sao Tome and Principe",10,"Total goods loaded",4,"Mirror data - majority reported",,11,"Mirror data - majority reported",,5,"Mirror data - majority reported",,15,"Mirror data - majority reported",,11,"Mirror data - majority reported",,7,"Mirror data - majority reported",,4,"Mirror data - majority reported",,8,"Mirror data - majority reported",,10,"Mirror data - majority reported",,8,"Mirror data - majority reported",,59,"Mirror data - majority estimated",
"Saudi Arabia",10,"Total goods loaded",434715,"Mirror data - majority reported",,425621,"Mirror data - majority reported",,364217,"Mirror data - majority reported",,449310,"Mirror data - majority reported",,438644,"Mirror data - majority reported",,455583,"Mirror data - majority reported",,447410,"Mirror data - majority reported",,427644,"Mirror data - majority reported",,418506,"Mirror data - majority reported",,474397,"Mirror data - majority reported",,453343,"Mirror data - majority estimated",
"Senegal",10,"Total goods loaded",2077,"Mirror data - majority reported",,2240,"Mirror data - majority reported",,3031,"Mirror data - majority reported",,2802,"Mirror data - majority reported",,3352,"Mirror data - majority reported",,3255,"Mirror data - majority reported",,3703,"Mirror data - majority reported",,3386,"Mirror data - majority reported",,3559,"Mirror data - majority reported",,3891,"Mirror data - majority estimated",,3692,"Mirror data - majority estimated",
"Serbia",10,"Total goods loaded",4002,"Mirror data - majority reported",,4290,"Mirror data - majority reported",,4741,"Mirror data - majority reported",,4926,"Mirror data - majority reported",,5527,"Mirror data - majority reported",,5527,"Mirror data - majority reported",,6018,"Mirror data - majority reported",,5916,"Mirror data - majority reported",,6404,"Mirror data - majority reported",,6019,"Mirror data - majority reported",,5384,"Mirror data - majority reported",
"Serbia and Montenegro",10,"Total goods loaded",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Seychelles",10,"Total goods loaded",481,"Mirror data - majority reported",,554,"Mirror data - majority reported",,427,"Mirror data - majority reported",,226,"Mirror data - majority reported",,306,"Mirror data - majority reported",,251,"Mirror data - majority reported",,235,"Mirror data - majority reported",,233,"Mirror data - majority reported",,259,"Mirror data - majority reported",,236,"Mirror data - majority estimated",,180,"Mirror data - majority estimated",
"Sierra Leone",10,"Total goods loaded",2836,"Mirror data - majority reported",,4399,"Mirror data - majority reported",,839,"Mirror data - majority reported",,1014,"Mirror data - majority reported",,1991,"Mirror data - majority reported",,693,"Mirror data - majority reported",,556,"Mirror data - majority reported",,574,"Mirror data - majority reported",,824,"Mirror data - majority reported",,1745,"Mirror data - majority reported",,2245,"Mirror data - majority estimated",
"Singapore",10,"Total goods loaded",92075,"Mirror data - majority reported",,99540,"Mirror data - majority reported",,103870,"Mirror data - majority reported",,106960,"Mirror data - majority reported",,125516,"Mirror data - majority reported",,125022,"Mirror data - majority reported",,117230,"Mirror data - majority reported",,107264,"Mirror data - majority reported",,110976,"Mirror data - majority reported",,114689,"Mirror data - majority reported",,102112,"Mirror data - majority estimated",
"Sint Maarten (Dutch part)",10,"Total goods loaded",13,"Mirror data - reported",,18,"Mirror data - majority reported",,48,"Mirror data - reported",,20,"Mirror data - majority reported",,27,"Mirror data - majority reported",,20,"Mirror data - majority reported",,26,"Mirror data - majority reported",,16,"Mirror data - majority reported",,51,"Mirror data - majority reported",,25,"Mirror data - majority reported",,25,"Mirror data - majority estimated",
"Slovakia",10,"Total goods loaded",18993,"Mirror data - majority reported",,19371,"Mirror data - majority reported",,19989,"Mirror data - majority reported",,20505,"Mirror data - majority reported",,20890,"Mirror data - majority reported",,21286,"Mirror data - majority reported",,19920,"Mirror data - majority reported",,19539,"Mirror data - majority reported",,20988,"Mirror data - majority reported",,20569,"Mirror data - majority reported",,19471,"Mirror data - majority reported",
"Slovenia",10,"Total goods loaded",9153,"Mirror data - majority reported",,10081,"Mirror data - majority reported",,10744,"Mirror data - majority reported",,11574,"Mirror data - majority reported",,11750,"Mirror data - majority reported",,12552,"Mirror data - majority reported",,12388,"Mirror data - majority reported",,11879,"Mirror data - majority reported",,12450,"Mirror data - majority reported",,13133,"Mirror data - majority reported",,12689,"Mirror data - majority reported",
"Solomon Islands",10,"Total goods loaded",2058,"Mirror data - majority reported",,2116,"Mirror data - majority reported",,2158,"Mirror data - majority reported",,1954,"Mirror data - majority reported",,2603,"Mirror data - majority reported",,2568,"Mirror data - majority reported",,2302,"Mirror data - majority reported",,1872,"Mirror data - majority reported",,1604,"Mirror data - majority reported",,1425,"Mirror data - majority estimated",,1479,"Mirror data - majority estimated",
"Somalia",10,"Total goods loaded",62,"Mirror data - majority reported",,73,"Mirror data - majority reported",,77,"Mirror data - majority reported",,64,"Mirror data - majority reported",,56,"Mirror data - majority reported",,46,"Mirror data - majority reported",,53,"Mirror data - majority reported",,56,"Mirror data - majority reported",,84,"Mirror data - majority reported",,43,"Mirror data - majority reported",,61,"Mirror data - majority estimated",
"South Africa",10,"Total goods loaded",112385,"Mirror data - majority reported",,113047,"Mirror data - majority reported",,115678,"Mirror data - majority reported",,108002,"Mirror data - majority reported",,123407,"Mirror data - majority reported",,121310,"Mirror data - majority reported",,123294,"Mirror data - majority reported",,115597,"Mirror data - majority reported",,125368,"Mirror data - majority reported",,126197,"Mirror data - majority reported",,124433,"Mirror data - majority reported",
"South Georgia and the South Sandwich Islands",10,"Total goods loaded",0,"Mirror data - reported",,1,"Mirror data - reported",,2,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,1,"Mirror data - majority estimated",,0,"Mirror data - majority estimated",
"South Sudan",10,"Total goods loaded",3480,"Mirror data - majority reported",,6510,"Mirror data - majority reported",,6584,"Mirror data - majority reported",,4535,"Mirror data - majority reported",,3581,"Mirror data - majority reported",,3630,"Mirror data - majority reported",,3595,"Mirror data - majority reported",,2122,"Mirror data - majority reported",,1082,"Mirror data - majority reported",,740,"Mirror data - majority estimated",,1037,"Mirror data - majority estimated",
"Spain",10,"Total goods loaded",98829,"Mirror data - majority reported",,103056,"Mirror data - majority reported",,105620,"Mirror data - majority reported",,105761,"Mirror data - majority reported",,114039,"Mirror data - majority reported",,114854,"Mirror data - majority reported",,116232,"Mirror data - majority reported",,111442,"Mirror data - majority reported",,118923,"Mirror data - majority reported",,123983,"Mirror data - majority reported",,128141,"Mirror data - majority reported",
"Sri Lanka",10,"Total goods loaded",2075,"Mirror data - majority reported",,2105,"Mirror data - majority reported",,2168,"Mirror data - majority reported",,2274,"Mirror data - majority reported",,2267,"Mirror data - majority reported",,2357,"Mirror data - majority reported",,2314,"Mirror data - majority reported",,2375,"Mirror data - majority reported",,3035,"Mirror data - majority reported",,2495,"Mirror data - majority reported",,2252,"Mirror data - majority estimated",
