Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Madagascar,894.0,802.0,802.0,817.0,1162.0,1012.0,1039.0,1063.0,1273.0,1283.0,1197.0
Malawi,187.0,191.0,191.0,168.0,138.0,116.0,132.0,160.0,175.0,153.0,122.0
Malaysia,170304.0,168538.0,184401.0,182339.0,273564.0,244273.0,202353.0,227359.0,284049.0,284127.0,284927.0
Maldives,56.0,51.0,65.0,191.0,352.0,136.0,145.0,97.0,180.0,182.0,298.0
Mali,259.0,175.0,183.0,216.0,220.0,159.0,154.0,249.0,351.0,262.0,222.0
Malta,4913.0,4933.0,4879.0,5052.0,6221.0,5467.0,4995.0,3672.0,5125.0,3097.0,6239.0
Marshall Islands,642.0,791.0,750.0,984.0,705.0,686.0,870.0,506.0,1235.0,766.0,781.0
Mauritania,4622.0,5537.0,4917.0,5072.0,5031.0,4998.0,6336.0,5595.0,5722.0,5434.0,5133.0
Mauritius,1045.0,1262.0,1538.0,1444.0,1169.0,1195.0,1299.0,1187.0,1163.0,1219.0,1162.0
Mexico,138343.0,124229.0,129671.0,138915.0,125362.0,129051.0,130413.0,140372.0,145562.0,148970.0,151796.0
Micronesia (Federated States of),19.0,21.0,17.0,43.0,53.0,74.0,96.0,84.0,138.0,118.0,137.0
Mongolia,8692.0,9808.0,7999.0,6380.0,14364.0,15141.0,15475.0,12624.0,8679.0,12062.0,17601.0
Montenegro,196.0,239.0,310.0,254.0,365.0,316.0,347.0,370.0,640.0,725.0,663.0
Montserrat,8.0,14.0,23.0,12.0,27.0,46.0,34.0,28.0,49.0,54.0,80.0
Morocco,17573.0,17200.0,17328.0,17233.0,19840.0,20945.0,20807.0,22231.0,22699.0,20675.0,19952.0
Mozambique,7800.0,8171.0,8766.0,9458.0,12681.0,12887.0,11556.0,8350.0,9293.0,11714.0,10923.0
Myanmar,4439.0,6264.0,6255.0,8264.0,6659.0,9261.0,11054.0,12663.0,7929.0,6317.0,6995.0
Namibia,1066.0,1265.0,1186.0,1000.0,1007.0,1322.0,1250.0,1146.0,1476.0,1539.0,
Nauru,338.0,154.0,140.0,100.0,135.0,62.0,93.0,184.0,361.0,349.0,275.0
Nepal,263.0,316.0,173.0,147.0,163.0,156.0,321.0,248.0,441.0,339.0,423.0
Netherlands (Kingdom of the),257866.0,258816.0,248757.0,264446.0,264863.0,261362.0,262462.0,245709.0,267072.0,255065.0,250217.0
New Caledonia,4023.0,4899.0,4201.0,3204.0,3229.0,3811.0,4006.0,3665.0,4256.0,4274.0,3850.0
New Zealand,33416.0,34065.0,32343.0,38891.0,36191.0,38637.0,38825.0,34482.0,37787.0,35282.0,34039.0
Nicaragua,1176.0,1098.0,1043.0,1177.0,1289.0,1420.0,1459.0,1455.0,1552.0,1737.0,1377.0
Niger,179.0,178.0,222.0,192.0,350.0,264.0,484.0,528.0,633.0,288.0,375.0
Nigeria,115963.0,113524.0,112893.0,99553.0,104339.0,108665.0,111726.0,104171.0,98620.0,83631.0,83542.0
Niue,0.0,7.0,0.0,0.0,81.0,227.0,98.0,110.0,2.0,0.0,37.0
Norfolk Island,5.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
North Macedonia,793.0,863.0,868.0,897.0,931.0,1026.0,997.0,943.0,1005.0,997.0,919.0
Northern Mariana Islands,3.0,1.0,1.0,2.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0
Norway,130096.0,137460.0,146389.0,150610.0,157763.0,149128.0,143622.0,144352.0,155391.0,164125.0,164646.0
Oman,68005.0,64054.0,65488.0,68888.0,67594.0,75552.0,80646.0,90043.0,110326.0,110046.0,106725.0
Pakistan,14359.0,14170.0,12438.0,10830.0,12098.0,14306.0,14173.0,13944.0,15442.0,18412.0,18544.0
Palau,2.0,9.0,13.0,4.0,11.0,17.0,5.0,38.0,5.0,3.0,12.0
Panama,4643.0,4317.0,4958.0,3935.0,4634.0,3984.0,4304.0,3283.0,3815.0,4137.0,3874.0
Papua New Guinea,5858.0,10772.0,14290.0,14424.0,15704.0,14212.0,16376.0,15729.0,14433.0,15065.0,14034.0
Paraguay,8564.0,8479.0,7956.0,8152.0,8666.0,8386.0,7523.0,7360.0,7000.0,4977.0,7843.0
Peru,34350.0,32606.0,34602.0,37794.0,41802.0,45335.0,46717.0,42207.0,47912.0,51404.0,53673.0
Philippines,21241.0,24374.0,23294.0,20293.0,22299.0,20567.0,24506.0,21247.0,24587.0,21502.0,
Pitcairn,2.0,2.0,4.0,2.0,1.0,6.0,0.0,2.0,2.0,1.0,0.0
Poland,72685.0,72037.0,76817.0,78519.0,79166.0,79875.0,77702.0,76278.0,83877.0,84666.0,85040.0
Portugal,22704.0,22032.0,23721.0,22020.0,22859.0,20725.0,21046.0,20530.0,21401.0,20398.0,18969.0
Qatar,158304.0,153492.0,145481.0,152091.0,144868.0,148397.0,143604.0,140940.0,144212.0,147766.0,148618.0
Republic of Korea,162648.0,166828.0,172745.0,179063.0,181669.0,180229.0,184282.0,178260.0,177951.0,179622.0,185015.0
Republic of Moldova,1026.0,1305.0,1339.0,1380.0,1770.0,1746.0,2033.0,1515.0,1814.0,1837.0,1661.0
Romania,24554.0,27685.0,25834.0,27693.0,27434.0,29826.0,29380.0,26493.0,29375.0,30006.0,29392.0
Russian Federation,733098.0,723373.0,744667.0,778916.0,815505.0,864966.0,858596.0,853635.0,849589.0,777875.0,751362.0
Saint Barthelemy,6.0,6.0,37.0,13.0,49.0,12.0,60.0,68.0,50.0,63.0,70.0
Saint Helena,2.0,7.0,4.0,2.0,7.0,2.0,2.0,1.0,2.0,10.0,3.0
Saint Kitts and Nevis,26.0,49.0,20.0,54.0,32.0,29.0,13.0,20.0,12.0,17.0,33.0
Saint Lucia,209.0,511.0,396.0,339.0,202.0,296.0,255.0,176.0,237.0,225.0,258.0
Saint Pierre and Miquelon,2.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0
Saint Vincent and the Grenadines,124.0,101.0,203.0,209.0,305.0,255.0,274.0,287.0,68.0,95.0,51.0
Samoa,17.0,,,,,,,,,,
San Marino,16.0,21.0,26.0,17.0,11.0,18.0,18.0,19.0,14.0,16.0,16.0
